# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 320 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 1:58:07
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | 6L | **사회1_창체1** | **96.2%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 팝송 매니아(3★) | 78G | **바른생활 사나이(3★)**, **역사 매니아(3★)**, **팝송 매니아(3★)**, 수학천재(3★), 골목대장(1★), 급식 당번(1★), 진로진학 멘토(1★) |
| 🥈 | 6L | **수학2_장난꾸러기2_창체1** | **96.0%** | 바른생활 사나이(3★) | 과학실험부장(3★) | 진로진학 멘토(3★) | 78G | **바른생활 사나이(3★)**, **과학실험부장(3★)**, **진로진학 멘토(3★)**, 문학소녀(3★), 수학천재(1★), 칠판 낙서꾼(1★), 골목대장(1★) |
| 🥉 | 6L | **창체1_사회1** | **93.0%** | 바른생활 사나이(1★) | 진로진학 멘토(3★) | 팝송 매니아(3★) | 78G | **진로진학 멘토(3★)**, **팝송 매니아(3★)**, 합창단 에이스(3★), 역사 매니아(3★), **바른생활 사나이(1★)**, 골목대장(1★), 급식 당번(1★) |
| 4 | 6L | **선도부2_창체1_사회1** | **92.0%** | 바른생활 사나이(3★) | 진로진학 멘토(3★) | 체육부장(3★) | 78G | **바른생활 사나이(3★)**, **진로진학 멘토(3★)**, **체육부장(3★)**, 칠판 낙서꾼(3★), 과학실험부장(1★), 역사 매니아(1★), 팝송 매니아(1★) |
| 5 | 6L | **창체1_사회1** | **90.2%** | 바른생활 사나이(3★) | 합창단 에이스(3★) | 진로진학 멘토(3★) | 78G | **합창단 에이스(3★)**, **진로진학 멘토(3★)**, 역사 매니아(3★), **바른생활 사나이(3★)**, 팝송 매니아(1★), 골목대장(1★), 골목대장(1★) |
| 6 | 6L | **수학2_장난꾸러기2_창체1** | **88.7%** | 골목대장(3★) | 과학실험부장(3★) | 수학천재(3★) | 78G | **과학실험부장(3★)**, **수학천재(3★)**, **골목대장(3★)**, 진로진학 멘토(3★), 합창단 에이스(1★), 팝송 매니아(1★), 칠판 낙서꾼(1★) |
| 7 | 6L | **수학2_사회1** | **88.7%** | 바른생활 사나이(3★) | 수학천재(3★) | 과학실험부장(3★) | 82G | **수학천재(3★)**, **과학실험부장(3★)**, **바른생활 사나이(3★)**, 급식 당번(3★), 수학천재(2★), 역사 매니아(1★), 칠판 낙서꾼(1★) |
| 8 | 6L | **무지성잡덱** | **88.2%** | 바른생활 사나이(3★) | 팝송 매니아(3★) | 수학천재(3★) | 84G | **팝송 매니아(3★)**, **수학천재(3★)**, **바른생활 사나이(3★)**, 과학실험부장(3★), 팝송 매니아(2★), 수학천재(2★) |
| 9 | 6L | **수학2_사회1** | **88.2%** | 바른생활 사나이(3★) | 급식 당번(3★) | 칠판 낙서꾼(3★) | 82G | **급식 당번(3★)**, **칠판 낙서꾼(3★)**, 수학천재(3★), **바른생활 사나이(3★)**, 급식 당번(2★), 역사 매니아(1★), 역사 매니아(1★) |
| 10 | 6L | **수학2** | **87.5%** | 바른생활 사나이(3★) | 급식 당번(3★) | 팝송 매니아(3★) | 78G | **급식 당번(3★)**, **팝송 매니아(3★)**, **바른생활 사나이(3★)**, 수학천재(3★), 칠판 낙서꾼(1★), 칠판 낙서꾼(1★), 과학실험부장(1★) |
| 11 | 6L | **수학2_장난꾸러기2_창체1** | **87.0%** | 골목대장(3★) | 과학실험부장(3★) | 급식 당번(3★) | 86G | **과학실험부장(3★)**, **급식 당번(3★)**, 칠판 낙서꾼(3★), **골목대장(3★)**, 진로진학 멘토(2★), 칠판 낙서꾼(2★), 수학천재(1★) |
| 12 | 6L | **무지성잡덱** | **87.0%** | 바른생활 사나이(3★) | 팝송 매니아(3★) | 합창단 에이스(3★) | 86G | **바른생활 사나이(3★)**, **팝송 매니아(3★)**, **합창단 에이스(3★)**, 급식 당번(3★), 바른생활 사나이(2★), 팝송 매니아(2★), 칠판 낙서꾼(1★) |
| 13 | 6L | **수학2_선도부2_창체1** | **87.0%** | 바른생활 사나이(3★) | 수학천재(3★) | 진로진학 멘토(3★) | 82G | **수학천재(3★)**, **바른생활 사나이(3★)**, **진로진학 멘토(3★)**, 체육부장(3★), 수학천재(2★), 칠판 낙서꾼(1★), 역사 매니아(1★) |
| 14 | 6L | **사회1** | **86.0%** | 바른생활 사나이(3★) | 과학실험부장(3★) | 팝송 매니아(3★) | 82G | **과학실험부장(3★)**, **팝송 매니아(3★)**, 역사 매니아(3★), **바른생활 사나이(3★)**, 팝송 매니아(2★), 합창단 에이스(1★), 수학천재(1★) |
| 15 | 6L | **창체1** | **86.0%** | 바른생활 사나이(3★) | 팝송 매니아(3★) | 골목대장(3★) | 86G | **바른생활 사나이(3★)**, **팝송 매니아(3★)**, **골목대장(3★)**, 과학실험부장(3★), 진로진학 멘토(2★), 바른생활 사나이(2★), 급식 당번(1★) |
