# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **분석 시간**: 2026. 5. 31. 오후 11:06:05
> **평가 방식**: 각 레벨별 예선(풀 리그)을 통과한 총 60개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다. (시너지 타겟 덱 합류)

---

## 🏆 최종 최적해 순위 통계 (Top 60)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | Syn(육상부4) | **육상부4_국어2_체육2** | **81.4%** | 전교 학생회장(4코2★) | 논술의 신(4코2★) | 전교 학생회장(4코2★) | 71G | **논술의 신(4코2★)**, 육상부 에이스(3코2★), 달리기 선수(1코2★), 외고 전학생(5코1★), **전교 학생회장(4코2★)**, **전교 학생회장(4코2★)**, 수채화 장인(3코2★), 발명품 매니아(3코2★) |
| 🥈 | 6L | **체육2_선도부2** | **79.7%** | 골목대장(2코3★) | 합창단 에이스(2코2★) | 과학실험부장(2코2★) | 48G | **골목대장(2코3★)**, **합창단 에이스(2코2★)**, **과학실험부장(2코2★)**, 바른생활 사나이(2코2★), 합창단 에이스(2코2★), 체육부장(2코2★) |
| 🥉 | 6L | **선도부2** | **76.3%** | 바른생활 사나이(2코2★) | 팝송 매니아(2코2★) | 체육부장(2코2★) | 36G | **팝송 매니아(2코2★)**, **바른생활 사나이(2코2★)**, **체육부장(2코2★)**, 합창단 에이스(2코2★), 팝송 매니아(2코2★), 과학실험부장(2코2★) |
| 4 | 6L | **장난꾸러기2_창체1** | **76.3%** | 골목대장(2코3★) | 합창단 에이스(2코3★) | 칠판 낙서꾼(2코2★) | 60G | **골목대장(2코3★)**, **합창단 에이스(2코3★)**, **칠판 낙서꾼(2코2★)**, 바른생활 사나이(2코2★), 진로진학 멘토(2코2★), 문학소녀(2코2★) |
| 5 | Syn(미술4) | **미술4_음악2_장난꾸러기2** | **76.3%** | 전교 체육부장(4코2★) | 천재 피아니스트(4코2★) | 전교 체육부장(4코2★) | 63G | 미술 치료사(3코2★), 피카소의 재림(5코1★), 수채화 장인(3코1★), 찰흙 조각가(1코1★), **전교 체육부장(4코2★)**, **천재 피아니스트(4코2★)**, **전교 체육부장(4코2★)**, 오케스트라 단장(3코2★) |
| 6 | 6L | **체육2_수학2_장난꾸러기2** | **72.9%** | 골목대장(2코3★) | 역사 매니아(2코3★) | 팝송 매니아(2코3★) | 72G | **골목대장(2코3★)**, **역사 매니아(2코3★)**, **팝송 매니아(2코3★)**, 체육부장(2코2★), 수학천재(2코2★), 칠판 낙서꾼(2코2★) |
| 7 | 6L | **창체1_사회1** | **72.9%** | 바른생활 사나이(2코3★) | 수학천재(2코3★) | 진로진학 멘토(2코2★) | 60G | **바른생활 사나이(2코3★)**, **수학천재(2코3★)**, **진로진학 멘토(2코2★)**, 역사 매니아(2코2★), 과학실험부장(2코2★), 골목대장(2코2★) |
| 8 | Syn(수학4) | **수학4_도덕2_보건부2** | **72.9%** | 전교 학생회장(4코2★) | 올림피아드 금상(3코2★) | 나이팅게일(4코2★) | 63G | **올림피아드 금상(3코2★)**, 칠판 낙서꾼(2코2★), 수능 만점자(4코1★), 수학천재(2코1★), **전교 학생회장(4코2★)**, **나이팅게일(4코2★)**, 오케스트라 단장(3코2★), 양호실 도우미(3코2★) |
| 9 | 6L | **보건부2_창체1_사회1** | **71.2%** | 바른생활 사나이(2코2★) | 문학소녀(2코3★) | 팝송 매니아(2코2★) | 48G | **문학소녀(2코3★)**, **팝송 매니아(2코2★)**, **바른생활 사나이(2코2★)**, 진로진학 멘토(2코2★), 칠판 낙서꾼(2코2★), 역사 매니아(2코2★) |
