# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 10:11:07
> **평가 방식**: 각 레벨별 예선(100개 풀 리그)을 통과한 상위 10개씩, 총 40개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | 6L | **선도부2_보건부2** | **84.6%** | 바른생활 사나이(2코3★) | 칠판 낙서꾼(2코3★) | 팝송 매니아(2코3★) | 72G | **바른생활 사나이(2코3★)**, **칠판 낙서꾼(2코3★)**, **팝송 매니아(2코3★)**, 문학소녀(2코2★), 과학실험부장(2코2★), 체육부장(2코2★) |
| 🥈 | 6L | **선도부2** | **79.5%** | 바른생활 사나이(2코3★) | 과학실험부장(2코3★) | 문학소녀(2코3★) | 72G | **과학실험부장(2코3★)**, **문학소녀(2코3★)**, **바른생활 사나이(2코3★)**, 급식 당번(2코2★), 칠판 낙서꾼(2코2★), 체육부장(2코2★) |
| 🥉 | 8L | **국어2_사회1** | **71.8%** | 전교 학생회장(4코1★) | 논술의 신(4코2★) | 나이팅게일(4코2★) | 48G | **논술의 신(4코2★)**, **나이팅게일(4코2★)**, **전교 학생회장(4코1★)**, 미친 과학자(4코1★), 전교 학생회장(4코1★), 천재 피아니스트(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★) |
| 4 | 9L | **국어2_음악2_장난꾸러기2** | **71.8%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 피카소의 재림(5코1★) | 55G | **전교 학생회장(4코2★)**, **미친 과학자(4코2★)**, **피카소의 재림(5코1★)**, 외고 전학생(5코1★), 기부 천사(5코1★), 천재 피아니스트(4코1★), 논술의 신(4코1★), 천재 피아니스트(4코1★), 나이팅게일(4코1★) |
| 5 | 6L | **무지성잡덱** | **69.2%** | 바른생활 사나이(2코2★) | 급식 당번(2코2★) | 과학실험부장(2코2★) | 36G | **급식 당번(2코2★)**, **바른생활 사나이(2코2★)**, **과학실험부장(2코2★)**, 합창단 에이스(2코2★), 문학소녀(2코2★), 칠판 낙서꾼(2코2★) |
| 6 | 9L | **음악2_장난꾸러기2_창체1** | **69.2%** | 전교 학생회장(4코1★) | 미친 과학자(4코2★) | 피카소의 재림(5코1★) | 47G | **미친 과학자(4코2★)**, **피카소의 재림(5코1★)**, 기부 천사(5코1★), 외고 전학생(5코1★), **전교 학생회장(4코1★)**, 나이팅게일(4코1★), 천재 피아니스트(4코1★), 수능 만점자(4코1★), 천재 피아니스트(4코1★) |
| 7 | 9L | **과학2_선도부2_창체1** | **66.7%** | 교장 선생님(5코1★) | 외고 전학생(5코2★) | 수석 연구원(5코1★) | 52G | **외고 전학생(5코2★)**, **교장 선생님(5코1★)**, **수석 연구원(5코1★)**, 기부 천사(5코1★), 교장 선생님(5코1★), 수석 연구원(5코1★), 미친 과학자(4코1★), 전교 체육부장(4코1★), 전교 학생회장(4코1★) |
| 8 | 9L | **국어2_수학2_육상부2** | **64.1%** | 전교 학생회장(4코2★) | 피카소의 재림(5코2★) | 외고 전학생(5코1★) | 58G | **피카소의 재림(5코2★)**, **전교 학생회장(4코2★)**, **외고 전학생(5코1★)**, 외고 전학생(5코1★), 교장 선생님(5코1★), 천재 퀀트(4코1★), 천재 퀀트(4코1★), 논술의 신(4코1★), 수능 만점자(4코1★) |
| 9 | 6L | **보건부2_사회1** | **61.5%** | 바른생활 사나이(2코2★) | 문학소녀(2코3★) | 팝송 매니아(2코3★) | 60G | **문학소녀(2코3★)**, **팝송 매니아(2코3★)**, 칠판 낙서꾼(2코2★), **바른생활 사나이(2코2★)**, 역사 매니아(2코2★), 합창단 에이스(2코2★) |
| 10 | 7L | **선도부2** | **61.5%** | 양호실 도우미(3코2★) | 올림피아드 금상(3코2★) | 육상부 에이스(3코2★) | 63G | **올림피아드 금상(3코2★)**, **육상부 에이스(3코2★)**, 영어 프리토커(3코2★), **양호실 도우미(3코2★)**, 발명품 매니아(3코2★), 올림피아드 금상(3코2★), 수채화 장인(3코2★) |
| 11 | 6L | **체육2_보건부2_장난꾸러기2** | **59.0%** | 체육부장(2코3★) | 팝송 매니아(2코3★) | 문학소녀(2코3★) | 72G | **팝송 매니아(2코3★)**, **체육부장(2코3★)**, **문학소녀(2코3★)**, 역사 매니아(2코2★), 칠판 낙서꾼(2코2★), 골목대장(2코2★) |
| 12 | 8L | **수학2_과학2_국어2** | **59.0%** | 전교 학생회장(4코1★) | 천재 퀀트(4코2★) | 논술의 신(4코2★) | 48G | **천재 퀀트(4코2★)**, **논술의 신(4코2★)**, 미친 과학자(4코1★), 수능 만점자(4코1★), 수능 만점자(4코1★), 천재 퀀트(4코1★), 나이팅게일(4코1★), **전교 학생회장(4코1★)** |
| 13 | 8L | **국어2_수학2_도덕2** | **59.0%** | 전교 학생회장(4코2★) | 수능 만점자(4코2★) | 교장 선생님(5코1★) | 54G | **전교 학생회장(4코2★)**, **수능 만점자(4코2★)**, **교장 선생님(5코1★)**, 논술의 신(4코1★), 논술의 신(4코1★), 천재 퀀트(4코1★), 나이팅게일(4코1★), 천재 퀀트(4코1★), 외고 전학생(5코1★) |
