# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **분석 시간**: 2026. 6. 1. PM 3:57:41
> **평가 방식**: 각 레벨별 예선(풀 리그)을 통과한 총 60개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다. (시너지 타겟 덱 합류)

---

## 🏆 최종 최적해 순위 통계 (Top 60)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | Syn(미술4) | **미술4_보건부2_장난꾸러기2** | **84.7%** | 찰흙 조각가(1코2★) | 수채화 장인(3코2★) | 논술의 신(4코2★) | 71G | **수채화 장인(3코2★)**, 미술 치료사(3코2★), **찰흙 조각가(1코2★)**, 급식 당번(2코1★), 나이팅게일(4코2★), 미친 과학자(4코2★), **논술의 신(4코2★)**, 나이팅게일(4코2★) |
| 🥈 | 7L | **미술2_보건부2_사회1** | **81.4%** | 양호실 도우미(3코2★) | 육상부 에이스(3코2★) | 수채화 장인(3코2★) | 63G | 미술 치료사(3코2★), **육상부 에이스(3코2★)**, **수채화 장인(3코2★)**, 오케스트라 단장(3코2★), 사회탐구 1타(3코2★), **양호실 도우미(3코2★)**, 해외 보따리상(3코2★) |
| 🥉 | 8L | **방송부3_장난꾸러기2** | **79.7%** | 전교 체육부장(4코2★) | 논술의 신(4코2★) | 천재 피아니스트(4코1★) | 54G | **전교 체육부장(4코2★)**, **논술의 신(4코2★)**, 피카소의 재림(5코1★), 미친 과학자(4코1★), **천재 피아니스트(4코1★)**, 공익광고 모델(4코1★), 천재 피아니스트(4코1★), 수능 만점자(4코1★), 피카소의 재림(5코1★) |
| 4 | 7L | **보건부2_사회1** | **76.3%** | 양호실 도우미(3코2★) | 시조 읊는 선비(3코2★) | 발명품 매니아(3코2★) | 63G | 해외 보따리상(3코2★), **시조 읊는 선비(3코2★)**, **양호실 도우미(3코2★)**, 미술 치료사(3코2★), 사회탐구 1타(3코2★), **발명품 매니아(3코2★)**, 양호실 도우미(3코2★) |
| 5 | 8L | **국어2_사회1** | **76.3%** | 전교 체육부장(4코2★) | 수능 만점자(4코2★) | 논술의 신(4코2★) | 63G | **전교 체육부장(4코2★)**, **수능 만점자(4코2★)**, **논술의 신(4코2★)**, 전교 학생회장(4코1★), 나이팅게일(4코1★), 전교 학생회장(4코1★), 피카소의 재림(5코2★) |
| 6 | 8L | **음악2_과학2_도덕2** | **74.6%** | 전교 체육부장(4코1★) | 천재 피아니스트(4코2★) | 미친 과학자(4코2★) | 51G | **천재 피아니스트(4코2★)**, **미친 과학자(4코2★)**, 천재 퀀트(4코1★), **전교 체육부장(4코1★)**, 나이팅게일(4코1★), 나이팅게일(4코1★), 발명품 매니아(3코1★), 양호실 도우미(3코1★), 외고 전학생(5코1★) |
| 7 | 8L | **방송부3_수학2_과학2** | **69.5%** | 전교 학생회장(4코2★) | 천재 피아니스트(4코2★) | 수능 만점자(4코1★) | 54G | **전교 학생회장(4코2★)**, **천재 피아니스트(4코2★)**, 기부 천사(5코1★), 천재 퀀트(4코1★), 공익광고 모델(4코1★), 천재 퀀트(4코1★), **수능 만점자(4코1★)**, 미친 과학자(4코1★), 피카소의 재림(5코1★) |
| 8 | Syn(미술4) | **미술4** | **69.5%** | 공익광고 모델(4코2★) | 천재 피아니스트(4코2★) | 천재 피아니스트(4코2★) | 70G | 수채화 장인(3코2★), 미술 치료사(3코2★), 급식 당번(2코2★), 찰흙 조각가(1코1★), **천재 피아니스트(4코2★)**, **공익광고 모델(4코2★)**, **천재 피아니스트(4코2★)**, 육상부 에이스(3코2★) |
| 9 | 8L | **수학2_과학2_경제부2** | **67.8%** | 전교 체육부장(4코2★) | 천재 퀀트(4코2★) | 천재 피아니스트(4코1★) | 61G | **천재 퀀트(4코2★)**, **전교 체육부장(4코2★)**, 전교 학생회장(4코2★), **천재 피아니스트(4코1★)**, 천재 피아니스트(4코1★), 미친 과학자(4코1★), 미친 과학자(4코1★), 수능 만점자(4코1★), 기부 천사(5코1★) |
| 10 | 9L | **음악2_육상부2** | **66.1%** | 전교 체육부장(4코1★) | 천재 피아니스트(4코2★) | 수석 연구원(5코1★) | 65G | 피카소의 재림(5코2★), **천재 피아니스트(4코2★)**, 나이팅게일(4코2★), **수석 연구원(5코1★)**, 외고 전학생(5코1★), **전교 체육부장(4코1★)**, 수능 만점자(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★) |
| 11 | 9L | **도덕2_과학2_경제부2** | **66.1%** | 교장 선생님(5코1★) | 수석 연구원(5코1★) | 외고 전학생(5코1★) | 50G | 나이팅게일(4코2★), 피카소의 재림(5코1★), **수석 연구원(5코1★)**, **외고 전학생(5코1★)**, 기부 천사(5코1★), **교장 선생님(5코1★)**, 외고 전학생(5코1★), 전교 체육부장(4코1★), 천재 퀀트(4코1★) |
| 12 | 9L | **방송부3_도덕2_음악2** | **66.1%** | 교장 선생님(5코2★) | 수능 만점자(4코2★) | 수석 연구원(5코1★) | 66G | **교장 선생님(5코2★)**, **수능 만점자(4코2★)**, 공익광고 모델(4코2★), 피카소의 재림(5코1★), 외고 전학생(5코1★), **수석 연구원(5코1★)**, 나이팅게일(4코1★), 천재 피아니스트(4코1★), 천재 피아니스트(4코1★) |
| 13 | 6L | **보건부2_사회1** | **64.4%** | 체육부장(2코3★) | 팝송 매니아(2코3★) | 수학천재(2코3★) | 84G | **팝송 매니아(2코3★)**, **체육부장(2코3★)**, 문학소녀(2코3★), **수학천재(2코3★)**, 역사 매니아(2코2★), 합창단 에이스(2코2★) |
| 14 | 9L | **도덕2_육상부2_창체1** | **64.4%** | 교장 선생님(5코1★) | 수석 연구원(5코1★) | 외고 전학생(5코1★) | 42G | **수석 연구원(5코1★)**, **교장 선생님(5코1★)**, **외고 전학생(5코1★)**, 기부 천사(5코1★), 피카소의 재림(5코1★), 교장 선생님(5코1★), 공익광고 모델(4코1★), 공익광고 모델(4코1★), 논술의 신(4코1★) |
| 15 | 7L | **영어2_선도부2_사회1** | **62.7%** | 양호실 도우미(3코2★) | 영어 프리토커(3코2★) | 육상부 에이스(3코2★) | 63G | 사회탐구 1타(3코2★), **양호실 도우미(3코2★)**, 올림피아드 금상(3코2★), **영어 프리토커(3코2★)**, 해외 보따리상(3코2★), **육상부 에이스(3코2★)**, 수채화 장인(3코2★) |
| 16 | 8L | **방송부3_음악2_육상부2** | **62.7%** | 공익광고 모델(4코2★) | 천재 피아니스트(4코2★) | 외고 전학생(5코1★) | 55G | **공익광고 모델(4코2★)**, **천재 피아니스트(4코2★)**, **외고 전학생(5코1★)**, 외고 전학생(5코1★), 수능 만점자(4코1★), 수능 만점자(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★), 피카소의 재림(5코1★) |
