Rank,WinRate,EHP,Composition
1,18.0%,9.9%,"★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 육상부 에이스 [제도용,전교 ,소음방] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [분실물,정전기] + ★2 칠판닦이 당번 [제도용] + ★2 과학탐구원 []"
2,16.0%,11.6%,"★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 나이팅게일 [제도용,전교 ,소음방] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [분실물,정전기] + ★2 과학탐구원 [] + ★2 칠판닦이 당번 [제도용]"
3,16.0%,8.1%,"★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 육상부 에이스 [제도용,전교 ,소음방] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [분실물,정전기] + ★2 과학탐구원 [] + ★2 전교 학생회장 [제도용]"
4,10.0%,7.9%,"★3 전교 학생회장 [삼색 ] + ★1 교장 선생님 [] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★3 영단어 암기왕 [분실물,정전기] + ★1 팝송 매니아 [양호실] + ★2 급식 당번 [] + ★1 육상부 에이스 [전교 ,전교회,밤샘용] + ★2 전교 학생회장 [밤샘용]"
5,8.0%,3.2%,"★3 전교 학생회장 [삼색 ] + ★1 육상부 에이스 [전교 ,전교회,밤샘용] + ★3 영단어 암기왕 [분실물,정전기] + ★1 교장 선생님 [] + ★1 과학실험부장 [] + ★1 팝송 매니아 [양호실] + ★2 급식 당번 [] + ★2 올림피아드 금상 [밤샘용]"
6,6.0%,4.2%,"★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 육상부 에이스 [제도용,전교 ,소음방] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [분실물,정전기] + ★2 과학탐구원 [] + ★2 칠판닦이 당번 [제도용]"
7,6.0%,1.5%,"★1 과학실험부장 [뜨거운,무거운,전교회] + ★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 육상부 에이스 [제도용,전교 ,소음방] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [분실물,정전기] + ★2 과학탐구원 [] + ★2 칠판닦이 당번 [제도용]"
8,4.0%,1.8%,"★1 육상부 에이스 [제도용,전교 ,소음방] + ★3 전교 학생회장 [삼색 ] + ★1 지리덕후 [] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★1 칠판닦이 당번 [소음방,제도용] + ★3 영단어 암기왕 [] + ★2 양호실 도우미 [] + ★2 칠판닦이 당번 [제도용]"
9,0.0%,0.0%,"★3 양호실 도우미 [삼색 ] + ★1 교장 선생님 [] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★3 영단어 암기왕 [분실물,정전기] + ★1 팝송 매니아 [양호실] + ★2 급식 당번 [] + ★1 육상부 에이스 [전교 ,전교회,밤샘용] + ★2 수학 짝꿍 [밤샘용]"
10,0.0%,0.0%,"★3 찰흙 조각가 [삼색 ] + ★1 교장 선생님 [] + ★1 과학실험부장 [뜨거운,무거운,전교회] + ★3 영단어 암기왕 [분실물,정전기] + ★1 팝송 매니아 [양호실] + ★2 급식 당번 [] + ★1 육상부 에이스 [전교 ,전교회,밤샘용] + ★2 전교 학생회장 [밤샘용]"
