실전순위,운영전략,풀시너지 덱 아키타입 및 핵심 3기물,실전 승률(몬테카를로)
1위,8렙 스탠다드,방송부5_음악2_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),34.6%
2위,8렙 스탠다드,방송부5 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),33.7%
3위,8렙 스탠다드,방송부5 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),33.1%
4위,8렙 스탠다드,방송부5_음악2_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),33.0%
5위,8렙 스탠다드,방송부5_음악2_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),32.9%
6위,8렙 스탠다드,방송부5_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),32.2%
7위,8렙 스탠다드,방송부5 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),32.2%
8위,8렙 스탠다드,방송부5 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),31.5%
9위,8렙 스탠다드,방송부5_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수채화 장인),29.1%
10위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),27.1%
11위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2_보건부2_사회1 (🛡️피카소의 재림, 👑발명품 매니아, 🌟천재 피아니스트),27.0%
12위,7렙 3코리롤,방송부3_음악2_선도부2 (🛡️오케스트라 단장, 👑사회탐구 1타, 🌟천재 피아니스트),26.0%
13위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),25.7%
14위,7렙 3코리롤,방송부3_음악2_선도부2 (🛡️올림피아드 금상, 👑사회탐구 1타, 🌟천재 피아니스트),25.3%
15위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),25.3%
16위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),24.8%
17위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),24.6%
18위,8렙 스탠다드,방송부5_수학2_선도부2_사회1 (🛡️교장 선생님, 👑천재 피아니스트, 🌟수능 만점자),24.5%
19위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),24.5%
20위,7렙 3코리롤,방송부3_음악2_선도부2 (🛡️오케스트라 단장, 👑천재 피아니스트, 🌟올림피아드 금상),24.4%
21위,7렙 3코리롤,방송부3_음악2_선도부2 (🛡️올림피아드 금상, 👑사회탐구 1타, 🌟천재 피아니스트),24.1%
22위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑수채화 장인, 🌟발명품 매니아),23.2%
23위,9렙 패스트9,방송부3_과학2_음악2_미술2_장난꾸러기2 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟수채화 장인),23.1%
24위,7렙 3코리롤,방송부3_음악2 (🛡️오케스트라 단장, 👑수채화 장인, 🌟천재 피아니스트),19.3%
25위,7렙 3코리롤,방송부3_음악2 (🛡️오케스트라 단장, 👑수채화 장인, 🌟발명품 매니아),18.2%
26위,7렙 3코리롤,방송부3_음악2 (🛡️오케스트라 단장, 👑천재 피아니스트, 🌟수능 만점자),16.9%
27위,7렙 3코리롤,음악2_선도부2_사회1 (🛡️피카소의 재림, 👑천재 피아니스트, 🌟양호실 도우미),16.0%
28위,7렙 3코리롤,음악2_선도부2_사회1 (🛡️올림피아드 금상, 👑사회탐구 1타, 🌟천재 피아니스트),15.2%
29위,7렙 3코리롤,음악2_선도부2_사회1 (🛡️오케스트라 단장, 👑사회탐구 1타, 🌟천재 피아니스트),14.1%
30위,9렙 패스트9,과학2_미술2_국어2_장난꾸러기2_육상부2 (🛡️논술의 신, 👑피카소의 재림, 🌟시조 읊는 선비),0.1%
