순위,시너지(레벨),승률,EHP,발동횟수
1,선도부(6),79.9%,41.1%,10
2,급식부(5),61.2%,38.3%,10
3,장난꾸러기(6),60.9%,24.6%,10
4,미술(4),57.7%,28.2%,10
5,선도부(4),51.9%,24.7%,14
6,국어(4),51.4%,17.5%,10
7,과학(4),49.8%,19.0%,11
8,영어(2),48.3%,22.1%,34
9,체육(4),48.3%,18.6%,10
10,영어(4),48.0%,19.2%,10
11,장난꾸러기(2),47.7%,21.7%,69
12,급식부(7),47.5%,22.6%,10
13,과학(2),47.4%,18.8%,61
14,음악(2),46.6%,23.8%,58
15,음악(4),46.0%,30.7%,10
16,수학(4),45.9%,15.8%,10
17,급식부(3),45.5%,21.4%,31
18,체육(2),45.4%,21.4%,68
19,육상부(2),44.7%,17.6%,72
20,수학(2),44.1%,19.8%,38
21,미술(2),43.9%,19.1%,44
22,도덕(2),43.5%,21.2%,79
23,선도부(2),41.8%,18.7%,87
24,육상부(4),41.1%,13.9%,12
25,사회(4),40.6%,22.4%,10
26,방송부(3),40.0%,20.3%,42
27,사회(1),38.8%,18.0%,136
28,장난꾸러기(4),38.1%,18.0%,10
29,방송부(5),36.0%,15.9%,13
30,국어(2),33.0%,13.8%,48
31,보건부(2),32.4%,13.9%,74
32,도덕(6),31.6%,16.2%,10
33,도덕(4),24.7%,10.9%,12
34,육상부(6),21.0%,5.4%,10
35,방송부(7),19.7%,8.2%,10
36,보건부(4),19.2%,8.9%,12
37,보건부(6),18.7%,11.4%,10
