순위,시너지,승률,EHP,평균비용,가성비,채용횟수
1,체육,54.1%,23.6%,54.8,0.99,201
2,선도부,53.9%,24.6%,55.5,0.97,237
3,수학,53.1%,24.2%,56.3,0.94,174
4,급식부,51.9%,24.5%,55.1,0.94,229
5,도덕,51.2%,23.5%,54.4,0.94,221
6,육상부,50.8%,22.2%,54.2,0.94,209
7,장난꾸러기,50.7%,22.9%,54.0,0.94,222
8,과학,50.6%,23.9%,56.3,0.90,220
9,음악,50.3%,25.3%,57.7,0.87,140
10,미술,49.4%,22.9%,53.4,0.92,178
11,국어,48.9%,21.9%,55.6,0.88,207
12,방송부,48.9%,22.5%,56.6,0.86,237
13,보건부,48.2%,21.7%,53.7,0.90,214
14,사회,48.0%,22.5%,55.7,0.86,177
15,영어,45.1%,20.3%,53.8,0.84,199
